Type,Person,Text
Visitor 1,Visitor," Bagi saya, saya datang sebulan sekali lah dan selalu."
Visitor 1,Visitor,"Cmart ni, saya student UUM so saya tahu lah dekat town ini ada Cmart lepas tu ada area student semua beli barang."
Visitor 1,Visitor,Okay memenuhi keperluan.
Visitor 1,Visitor,"Tapi dekat sini punya harga mahal sikit lah tapi ada semua barang tu ada dekat sini, setuju."
Visitor 1,Visitor,"Produk menarik, setuju."
Visitor 1,Visitor,"Bagi saya, dia lokasi mudah, boleh datang lah sini untuk akses semua barang dekat sini."
Visitor 1,Visitor,"I senang, I berpuas hati."
Visitor 1,Visitor,"I berpuas hati dengan servis diorang customer service,cashiers, kebersihan pun okay. "
Visitor 1,Visitor,Kaunter ramai dan panjang tapi cepat gerak
Visitor 1,Visitor,"Fifty-fifty la, yang tadi I cakap tu dia okay dia barang semua ada tapi dia lebih mahal la daripada yang tempat lain."
Visitor 1,Visitor,"Selalunya TikTok, sebab dia kan ada promosi tu diorang akan up kat TikTok, TikTok Cmart."
Visitor 1,Visitor,Datang.
Visitor 1,Visitor,"Bagi I kan I akan recommend sebab dia satu tempat, u boleh dapat semua barang. Kalau u pergi lain tu, u perlu pergi satu-satu kedai. So I recommend lah."
Visitor 1,Visitor,"Perlu promosi, sangat setuju."
Visitor 2,Visitor, Dalam seminggu ada dalam 2-3 kali macam tu lah.
Visitor 2,Visitor," Memang tinggal kat sini. Dan tahu lah, ada cmart kat sini lah."
Visitor 2,Visitor," Ya, Cmart memenuhi keperluan komuniti. "
Visitor 2,Visitor,"Sangat setuju.Ya, produk menarik betul. Sangat setuju."
Visitor 2,Visitor, Sebab semua barang yang kita perlu tu ada kat sini.
Visitor 2,Visitor," Senang sebab parking banyak, tak jammed"
Visitor 2,Visitor," Berpuas hati dengan kemudahan. Sangat setuju. Berpuas hati, sangat setuju. Bersih, kemudahan semua ada"
Visitor 2,Visitor,Perkhidmatan sesuai dan harga sesuai. 
Visitor 2,Visitor,"Okey lah, ikut barang, ada yang kat tempat lain mahal kat sini murah. Setuju."
Visitor 2,Visitor,Tak juga. Sebab kita sendiri yang nak mai sini kan. Tak ada pengaruh sosial media apalah. Memang nak beli barang kat sini. Tidak setuju bukan sebab sosial media.
Visitor 2,Visitor," Memang akan datang. Recommend, Recommend sebab semua barang ada kat sini."
Visitor 2,Visitor, Apa yang kita nak semua ada kat sini. Recommend.
Visitor 2,Visitor," Setuju. Perlu buat lebih banyak promosi, buat banyak aktiviti lagi lah. Untuk menarik pelanggan. "
Visitor 3,Visitor,Semiggu dua kali.
Visitor 3,Visitor,"Memang lahir kat sini, membesar kat sini."
Visitor 3,Visitor,"Ya, cmart memenuhi keperluan."
Visitor 3,Visitor,"Ya, complete produk yang ditawarkan."
Visitor 3,Visitor,"Ya, betul centre dan mudah diakses."
Visitor 3,Visitor,Puas hati dengan kemudahan.
Visitor 3,Visitor,"Ya, puas hati dengan kawasan."
Visitor 3,Visitor,"Okay, ya puas hati harga, barang murah."
Visitor 3,Visitor,Tak.
Visitor 3,Visitor,"Ya, betul."
Visitor 3,Visitor,Ya.
Visitor 3,Visitor,"Betul, promosi untuk tarikan. Event saja lah, buat playground untuk budak. "
Visitor 3,Visitor,"So, kalau macam ni okay lah Cuma kalau tambah playground macam balloon tu kan, mak-mak boleh shopping, anak boleh duk situ, Sebelum ni ada. "
Visitor 3,Visitor,Servis memuaskan.
Vendor,Vendor,"Handmade lah, kraftangan."
Vendor,Vendor,Berapa lama? Dalam enam tahun.
Vendor,Vendor,"Banyak tempat la, untuk carboot sale ni baru sekali. Selalu event lah."
Vendor,Vendor,"Ada, BeeCraft, TikTok, Facebook pun ada. Ada, hashtag uum, macam malaysia, crochet malaysia. Selalunya untuk konvo la."
Vendor,Vendor,"Selalu event dekat UUM macam tu juga kan. Tengahari tiada, panas betul. "
Vendor,Vendor,"Pengunjung kurang memuaskan lah, dia mungkin malam kut. "
Vendor,Vendor,Cuaca panas.
Vendor,Vendor,Belum lagi lah. Kawan bagitau. Ya.
Vendor,Vendor,"Tak pasti la, mungkin kena ikut event. Tak boleh harapkan media sosial."
Vendor,Vendor,Tempat kurang promosi.
Vendor,Vendor,Promote dalam Facebook.
Vendor,Vendor,"Setuju, tak pasti lah sebab first time. Okay ja, ada orang tapi kurang. "
Vendor,Vendor,"Mungkin cuaca kurang sesuai, tempat tak sesuai macam ni sebab orang tak nak datang."
Vendor,Vendor,"Ada juga, sangat setuju."
Vendor,Vendor,Tak okay.
Vendor,Vendor,"Ada juga, dalam sekali tu ada la beli seratus macam tu. Sangat setuju, ada juga. Sekali seorang beli macam tu."
Vendor,Vendor,"Sangat setuju tapi banyakkan Facebook, Tiktok kurang sikit. Ya , betul."
Vendor,Vendor,"Maksudnya? Membantu, sangat setuju."
Vendor,Vendor,"Ada persaingan, tapi tiada la sampai bergaduh masih bertolak ansur. Setuju."
Vendor,Vendor,"Promosi dapat membantu meningkat jumlah pengunjung juga lah, sangat setuju lah. "
Vendor,Vendor,"Boleh,akan sertai lagi. sangat setuju."
